orderId,oldCentre,newCentre
01GGAPGS3BZKF3AKKRRHPBCMMG,KINTAMPO,KINTAMPO
01HJ1A4AAFVZKNTJ7QRPCR0SNH,KINTAMPO,KINTAMPO
01HJ186C808KGZ2K5EPVS4JC9J,TEMA,KINTAMPO
01HJ187KRM76MGP0ZJKJ9ZBZ2E,TEMA,KINTAMPO
01HJ18G99SEWMDV2GBZ1WZC1QV,KINTAMPO,KINTAMPO
01HJ18ZDKV9MXJ2WWH291BR9JZ,KINTAMPO,KINTAMPO
01GQJA716JPNHC63KZEVCPGEXV,BOLGATANGA,KINTAMPO
01GQJA1NSNAY1RMEDMQ28ZTHQQ,KINTAMPO,KINTAMPO
01HJ191YK0QG9CTJ99K43GYY14,TEMA,KINTAMPO
01HJ19N2MCQGRQBMTY1F5BRVJS,ACCRA,KINTAMPO
01HJ19TZNXTXTKE0Z7XQ06GMAN,ACCRA,KINTAMPO
01HJ1A1XMP4ED0MZXABZ2VTJ7Y,ACCRA,KINTAMPO
01GQJ9MSQP1JSY6X60EAFE9W9A,BOLGATANGA,KINTAMPO
01HJ17Q5YF2Y9DDP1QWCQJC7HJ,ACCRA,KINTAMPO
01HJ1AQHF3WJ0AWW0PK6MACVCZ,TEMA,KINTAMPO
01GQJ9432AR1NBFP5DPW6R1N4H,KINTAMPO,KINTAMPO
01HJ1BSXX79233EEEHS960XM6A,ACCRA,KINTAMPO
01HJ1C41P6JXTY8HBRM5A3X4DP,ACCRA,KINTAMPO
01HJ1CPMZAWAFJWX72W3D1AWR6,ACCRA,KINTAMPO
01HJ1CYE8RZY7PEW0WP16M8W55,ACCRA,KINTAMPO
01HJ1DS7V50BEBY1M93YS7Y6D3,ACCRA,KINTAMPO
01HJ1DSPFSZWHF1EPBV3VNWNAM,ACCRA,KINTAMPO
01HJ1EA9HJFQR60TTHHEG6KG6H,ACCRA,KINTAMPO
01HJ1EADYNHXZJ6QMZEMZDEHQT,BOLGATANGA,KINTAMPO
01HJ17T5PZVQ85P3ZGCARJ9NWQ,ACCRA,KINTAMPO
01HJ17HAQES9TYDVS1PS49NBX5,BOLGATANGA,KINTAMPO
01HJ1FA5T89BY59XV5NHPFK7DA,ACCRA,KINTAMPO
01HJ11XCYAQKBT8WES23P6HSSZ,KOFORIDUA,KINTAMPO
01GQJDC63C86BZ1YQABG6BQN1F,TEMA,KINTAMPO
01HJ0VDAAV2HVNH2WFVSBPD8X9,KOFORIDUA,KINTAMPO
01HJ0YHQNH7J8DKGBPWVM95GH6,BOLGATANGA,KINTAMPO
01HJ0YKH77D6KDZQA2XWJWR9VE,TEMA,KINTAMPO
01HJ0ZC04AE178MDWK07TKQYPA,ACCRA,KINTAMPO
01HJ0ZF7JVT82E2ADTD3ESMW34,TEMA,KINTAMPO
01HJ0ZKY9R2YC3ZT65C5KMWCQY,ACCRA,KINTAMPO
01GQJCXZ18GDRARG587F3RS0FE,BOLGATANGA,KINTAMPO
01GQJCNGGKMS5BBCE4HC1MB4QY,BOLGATANGA,KINTAMPO
01GQJCMSZMNT06959WFCJXPHEV,BOLGATANGA,KINTAMPO
01HJ12VPS80TG2Z0SJC8DTGGEC,KOFORIDUA,KINTAMPO
01GQJB2B9DW0TD1GDNDGG8J6Q1,KINTAMPO,KINTAMPO
01HJ13AEAB098Y40711PF5X6WN,ACCRA,KINTAMPO
01HJ13Z3Q9BVW8A7N3NTHPD8K6,ACCRA,KINTAMPO
01GQJC5GSGD20YQ6B0ZSEQ7ZPS,BOLGATANGA,KINTAMPO
01HJ14WFXZQYQRDBFSX5HPNC90,ACCRA,KINTAMPO
01HJ1582M9THNSHNKRHSN0SC74,ACCRA,KINTAMPO
01HJ15N6YB8D9G4PZ5B7PC1MJ0,BOLGATANGA,KINTAMPO
01HJ16BGCP9Z4SSMHQ72M2AP8C,ACCRA,KINTAMPO
01HJ16BXVDADV3EPPEKKJ9V2W6,ACCRA,KINTAMPO
01HJ16G2CX0XFPH1JBAKF1G4FD,KOFORIDUA,KINTAMPO
01HJ17AQSQHH3XED7WG9GQGNF8,ACCRA,KINTAMPO
01HJ1EE652PJ53FBCGBMA1E615,BOLGATANGA,KINTAMPO
01HJ1FV46B4EADDB4QDMVHPFWJ,KOFORIDUA,KINTAMPO
01HJ3TVA2G137W14BR55VQ5XJ5,KOFORIDUA,KINTAMPO
01HJ3Q71NFY1EHRF8YJ06SAP7B,BOLGATANGA,KINTAMPO
01HJ3NDQAR816CPYDX5YVZ9JMY,TEMA,KINTAMPO
01HJ3NF32K6VVHREGDZ4HXB5Z0,ACCRA,KINTAMPO
01HJ3NJE3EC5V3VQ9CPBC2FGX7,TEMA,KINTAMPO
01HJ3NKX1BSE56KQNGN6WMMYS2,TEMA,KINTAMPO
01HJ3NMRTERGE7BK31BJMBJBE7,ACCRA,KINTAMPO
01HJ3NPR2YJXSWFR3XG49DJZE9,KOFORIDUA,KINTAMPO
01HJ3P70V4AQT6PYAB98QBWJJ8,ACCRA,KINTAMPO
01HJ3PS2W382MNY45M788DR1D3,KOFORIDUA,KINTAMPO
01GQJ1K8A18FEZG8P0CPQE95FW,BOLGATANGA,KINTAMPO
01HJ3Q53Z38D6F221KWETMCMFM,ACCRA,KINTAMPO
01HJ3QA59YW803Q0523NE9BYK2,ACCRA,KINTAMPO
01HJ3MVMJEJCSTSCGM3DJ5VR7R,KOFORIDUA,KINTAMPO
01HJ3R48HWJFDKTE92YSRM6HMN,KINTAMPO,KINTAMPO
01HJ3R73PGEREC92B1GM8F9JTG,ACCRA,KINTAMPO
01GQJ1EA2J7D2BNX0VYJRHZXYE,KOFORIDUA,KINTAMPO
01HJ3RR7RQJ9YS4CGMN7NB4J8Z,ACCRA,KINTAMPO
01HJ3SJZ3ZMHN3X3N4N39J59XE,TEMA,KINTAMPO
01HJ3SSC72REFX34S9P00ZYDEK,ACCRA,KINTAMPO
01HJ3SSNFK0NQQ0XQ2XNV4CN3A,BOLGATANGA,KINTAMPO
01HJ3T01M8RFVBDVZFB0ZRWR0K,TEMA,KINTAMPO
01HJ3TJ4JH6Q9784T8JBJVWZ96,KOFORIDUA,KINTAMPO
01HJ3TN54551ZWJGBZGDB1AEDE,KOFORIDUA,KINTAMPO
01GQJ3MA4JACQJS9T2W4KV2QND,KOFORIDUA,KINTAMPO
01HJ3KNHR3KT86CZ3RM470TXJQ,TEMA,KINTAMPO
01HJ37ZRQRBZ29KF8PJ3FADY0H,ACCRA,KINTAMPO
01GQJ5DHWPSPR8D1AVRNMGX0GM,KINTAMPO,KINTAMPO
01HJ399KGFVTVC5SJXJG9SWCR9,ACCRA,KINTAMPO
01GQJ6JRW09TBYY3400H48V87J,BOLGATANGA,KINTAMPO
01HJ3A6YBWC2CXPAVWYS43S62H,TEMA,KINTAMPO
01GQJ6HPC1GH18J5MXS1WDFQAR,TEMA,KINTAMPO
01HJ3CH0BNNCQ5ZQ5RC0PWPJ9G,TEMA,KINTAMPO
01HJ3EDCSX77Z8G83GJHTFYMV5,KOFORIDUA,KINTAMPO
01HJ3EEVTJV5M6N6C34QBFSXRZ,ACCRA,KINTAMPO
01HJ3FG9KHEXV90EJ7BP6E0ZH7,TEMA,KINTAMPO
01HJ3FV20TEPB2J8PMEA64CG42,ACCRA,KINTAMPO
01HJ3G42P04JG1WT0QR0MHANKM,ACCRA,KINTAMPO
01HJ3GCP6PTXV0METMYYSRTGEE,ACCRA,KINTAMPO
01HJ3K85QBHM3MN6VA251KDHDE,KOFORIDUA,KINTAMPO
01HJ3HGM2MZVS7ATPST1NXFV4K,ACCRA,KINTAMPO
01HJ3HNVNDD04T27AR6SM1ZBAJ,ACCRA,KINTAMPO
01HJ3J4JBQTAVXV1NHMDDGY35V,ACCRA,KINTAMPO
01GQJ4DVQBB8W8A6NX4B8895N5,BOLGATANGA,KINTAMPO
01GQJ4C8E3K6VZ2919D5P3HY0G,BOLGATANGA,KINTAMPO
01GQJ4BP8C0DDN143PKXFNGJH6,BOLGATANGA,KINTAMPO
01HJ3JDFY4973MCRY8PH0KWKZZ,ACCRA,KINTAMPO
01HJ3JRXG18W2K80GWB8BZRBJK,BOLGATANGA,KINTAMPO
01HJ3JZGD342ZH7K602ZGQGJYG,ACCRA,KINTAMPO
01HJ3K6WC2ECARWJC19CR7Z57B,KOFORIDUA,KINTAMPO
01GQJDCNPKFS0F69NM7MT71D45,TEMA,KINTAMPO
01HJ0SAT4WS0V1DVHTHMC2RP73,TEMA,KINTAMPO
01HJ0RRGFRN1XBSVPRNEXFJG7X,KINTAMPO,KINTAMPO
01HHPZX0R37V1P3QASPTNGRK5P,TEMA,KINTAMPO
01HHPW9MT9QW7H99TMD0PC5NWM,TEMA,KINTAMPO
01HHPWY0S22H7NDTM1FWC5ARJW,TEMA,KINTAMPO
01HHPX9ZQ9SFTGDFQTPMDXQ7W5,ACCRA,KINTAMPO
01HHPXNTS2SY5YRXFMJY9QXR1S,KOFORIDUA,KINTAMPO
01HHPXXS85KDZRW69FCVY3R46H,ACCRA,KINTAMPO
01GQMRPJM9QP77K47ZNZ4YNG3W,BOLGATANGA,KINTAMPO
01HHPYCECT3M4EWER2MJB5AXNG,ACCRA,KINTAMPO
01HHPYEW12FMTTNR4M6E32J3BE,TEMA,KINTAMPO
01GQMQT6HG1GW4X99GA3929QP7,BOLGATANGA,KINTAMPO
01HHPZACXZE97KA2TQHQ842FCQ,ACCRA,KINTAMPO
01GQMQ8R7YQ8NRZMANCMXRWWA0,TEMA,KINTAMPO
01HHPVMPK0FJTG4EYANVGHNT3A,ACCRA,KINTAMPO
01HHQ48A2FYXP3CH1KJR2300KS,TEMA,KINTAMPO
01HHQ4T4NQ4E6PC878VKY1D9NM,BOLGATANGA,KINTAMPO
01HHQ4ZF6D8TDDN5H8RAGF91M3,BOLGATANGA,KINTAMPO
01HHQ5GCZR2DMBD4GQKJ339P67,BOLGATANGA,KINTAMPO
01HHY1SGWPGNG23BNZ90H32Y23,TEMA,KINTAMPO
01GQMPVZXC98HACCSXB4HQ5XDF,TEMA,KINTAMPO
01GQMPTTHS45C03ZFB18VEV7HA,TEMA,KINTAMPO
01HHY72Q5AJFTTTNFJPQ7BRA3J,ACCRA,KINTAMPO
01HHY7RYTXPX72QSVK1HMPTKYX,ACCRA,KINTAMPO
01HHY8FMC77S2B9BG495X9X7TM,BOLGATANGA,KINTAMPO
01HHPVXSJ901B20KHZ6FQ76S6A,KOFORIDUA,KINTAMPO
01HHPVJ2VWTSJE4P72HYVDQYAA,ACCRA,KINTAMPO
01GQJDNNWV6TX7VWFPBMWHRYZF,TEMA,KINTAMPO
01GQMTKA8CBQ9NEFVVBGZBVSYV,KINTAMPO,KINTAMPO
01HHPKFE9QTHEA02B5F20NSBRV,TEMA,KINTAMPO
01HHPKTCGZN0C6EVSDCNTKS5YC,KOFORIDUA,KINTAMPO
01HHPKW0VQ3MTFWC9AAZ54NQ9X,TEMA,KINTAMPO
01HHPM2GZKRA571M2E9X7SQMBG,ACCRA,KINTAMPO
01HHPN2XHK275XQMFAGD0GA7DT,TEMA,KINTAMPO
01HHPNDS74M76V4EMA98DDZJYS,TEMA,KINTAMPO
01HHPNW7P3JD2Y16XG9753G77N,ACCRA,KINTAMPO
01HHPPKNC78BJ1011Q11R5E0S0,ACCRA,KINTAMPO
01HHPQ4QJQWKXWCQWXPVY76WQE,TEMA,KINTAMPO
01HHPQ7HC3023EYAW4R674TYPZ,KOFORIDUA,KINTAMPO
01GQMTJV30Z40S4XPEAZD5VAKK,TEMA,KINTAMPO
01HHPVHCWY0K0WK6HXHKK75XD7,KINTAMPO,KINTAMPO
01HHPS0D8A0WWSBQ69X51NS5AC,ACCRA,KINTAMPO
01GQMT4KW06ETWMZ1NHMCMM57Z,KINTAMPO,KINTAMPO
01HHPSRMPNA1WE53C9MET854TX,KINTAMPO,KINTAMPO
01HHPSRXDAJYT46W8Z6DKSD8FP,BOLGATANGA,KINTAMPO
01HHPSZ111Y783W5R9E08EAGBY,TEMA,KINTAMPO
01HHPTJVDTF4RB02V7HJBE0DYW,BOLGATANGA,KINTAMPO
01HHPTMGJFYJ8GQFN16516F4A8,ACCRA,KINTAMPO
01HHPV2N2339Q1QZP2AXYACJD3,ACCRA,KINTAMPO
01GQMS46R3T02K5GVX5TRFK5HV,BOLGATANGA,KINTAMPO
01HHPVA9NA0V33V7A2WT5Z8DY2,KOFORIDUA,KINTAMPO
01HHY8NS0KA005X7J7103FS42A,TEMA,KINTAMPO
01GQMPDAK5AS1FT026H8GDD42G,TEMA,KINTAMPO
01HHY9AQ2KP6387ZCNPMMBJNVV,ACCRA,KINTAMPO
01HHYTPJDR90DYN0BAZX3TA0W5,ACCRA,KINTAMPO
01HHYPC27706T5PJC84BCV6NPP,KOFORIDUA,KINTAMPO
01GQMGX60YKTNA790SFWQXES24,BOLGATANGA,KINTAMPO
01HHYQ04Q1Y5A96WQ4EM1NDM24,BOLGATANGA,KINTAMPO
01HHYQ41KFGT0HYS7XK17143XM,ACCRA,KINTAMPO
01HHYQ9PAD3K70KHK8P9KWC34X,ACCRA,KINTAMPO
01GQMG1BYRKJ6PQHRHRR2ZHXRA,KOFORIDUA,KINTAMPO
01HHYQTKWRVS52N6FX2SQDYSYQ,TEMA,KINTAMPO
01HHYR36K957KQK8V8V3D8TN8X,KINTAMPO,KINTAMPO
01HHYS6N74QTKSMEV94S54SP82,ACCRA,KINTAMPO
01HHYTDYRRHWYMXY2Z2YM81KKR,TEMA,KINTAMPO
01HHYTRCWZVXPF4YB4E9PZ2ETZ,KOFORIDUA,KINTAMPO
01HHYBHFG6HDJGP2JAZ00KAKR3,ACCRA,KINTAMPO
01GQJGE1K949C0397F38SPFEYZ,TEMA,KINTAMPO
01HHYTWA4CZQSWD805Q9YDEJ5B,BOLGATANGA,KINTAMPO
01HHYV4VEY0MQ6Z12A4QM3NP9B,ACCRA,KINTAMPO
01HHYV5B4TRC85X1G7Y2YQYYFC,BOLGATANGA,KINTAMPO
01HHYVCAFTAXDMAH02KESJ3ZBF,ACCRA,KINTAMPO
01HHYVHSZ7QVJQ5T8RJ90F23CE,BOLGATANGA,KINTAMPO
01HHYW1GJF7MKPVKZJ411WZDP4,KOFORIDUA,KINTAMPO
01HHYWH8JB0JAMMJN1TYGD7FGQ,TEMA,KINTAMPO
01HHYWH9H7E7PJN9P5M21HJJ2K,ACCRA,KINTAMPO
01HJ0Q2Z4SA00DG0ZWBXAPTRYA,TEMA,KINTAMPO
